"result.gene","result.weight","result.symbol","result.alias","result.annotation"
"LOC_Os01g02150",1,"--","None","sulfated surface glycoprotein 185 precursor, putative, expressed"
"LOC_Os01g02139",0.0329090534479,"--","None","expressed protein"
"LOC_Os01g02139",0.0329090534479,"--","None","expressed protein"
"LOC_Os06g05930",0.0304662817171,"--","None","expressed protein"
"LOC_Os06g05930",0.0304662817171,"--","None","expressed protein"
"LOC_Os07g01660",0.0302707839399,"--","None","dirigent, putative, expressed"
"LOC_Os07g01660",0.0302707839399,"--","None","dirigent, putative, expressed"
"LOC_Os02g33550",0.0284428465289,"--","None","harpin-induced protein 1 domain containing protein, expressed"
"LOC_Os02g33550",0.0284428465289,"--","None","harpin-induced protein 1 domain containing protein, expressed"
"LOC_Os03g03600",0.0259277154765,"--","None","fasciclin-like arabinogalactan protein, putative, expressed"
"LOC_Os03g03600",0.0259277154765,"--","None","fasciclin-like arabinogalactan protein, putative, expressed"
"LOC_Os01g15320",0.0228704619308,"--","None","RALFL9 - Rapid ALkalinization Factor RALF family protein precursor, expressed"
"LOC_Os01g15320",0.0228704619308,"--","None","RALFL9 - Rapid ALkalinization Factor RALF family protein precursor, expressed"
"LOC_Os01g09880",0.0225943285137,"--","None","harpin-induced protein 1 domain containing protein, expressed"
"LOC_Os01g09880",0.0225943285137,"--","None","harpin-induced protein 1 domain containing protein, expressed"
"LOC_Os09g07350",0.0217252285066,"--","None","fasciclin-like arabinogalactan protein 8 precursor, putative, expressed"
"LOC_Os09g07350",0.0217252285066,"--","None","fasciclin-like arabinogalactan protein 8 precursor, putative, expressed"
"LOC_Os07g27810",0.0212794291744,"--","None","fiber protein Fb34, putative, expressed"
"LOC_Os07g27810",0.0212794291744,"--","None","fiber protein Fb34, putative, expressed"
"LOC_Os05g48270",0.0194036528953,"--","None","auxin-responsive protein, putative, expressed"
"LOC_Os09g30486",0.0193203549151,"--","None","fasciclin domain containing protein, expressed"
"LOC_Os01g25560",0.0181789275831,"--","None","RALFL7 - Rapid ALkalinization Factor RALF family protein precursor, expressed"
"LOC_Os01g25540",0.0181254212454,"--","None","RALFL6 - Rapid ALkalinization Factor RALF family protein precursor, expressed"
"LOC_Os12g38810",0.0166028054421,"--","None","expressed protein"
"LOC_Os12g40900",0.0165503201136,"--","None","OsIAA31 - Auxin-responsive Aux/IAA gene family member, expressed"
"LOC_Os01g45700",0.0164758804492,"--","None","expressed protein"
"LOC_Os11g07670",0.0160611407816,"--","None","dirigent, putative, expressed"
"LOC_Os07g01370",0.015704085696,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os05g48900",0.0155737039086,"--","None","fasciclin domain containing protein, expressed"
"LOC_Os04g33990",0.0155164073309,"--","None","harpin-induced protein 1 domain containing protein, expressed"
"LOC_Os06g03640",0.0151678047218,"--","None","BAG domain containing protein, expressed"
"LOC_Os03g60340",0.0150506048499,"--","None","leaf senescence related protein, putative, expressed"
"LOC_Os01g47780",0.0147903836493,"--","None","fasciclin domain containing protein, expressed"
"LOC_Os10g37400",0.0146804056442,"--","None","DUF538 domain containing protein, putative, expressed"
"LOC_Os12g06260",0.0141394106017,"--","None","harpin-induced protein 1 domain containing protein, expressed"
"LOC_Os11g26190",0.013145221807,"--","None","RALFL23 - Rapid ALkalinization Factor RALF family protein precursor, expressed"
"LOC_Os07g10440",0.0129382066435,"--","None","expressed protein"
"LOC_Os09g32080",0.0123610407791,"bc15|OsCTL1","None","CHIT13 - Chitinase family protein precursor, expressed"
"LOC_Os05g48890",0.0123442285092,"--","None","fasciclin domain containing protein, expressed"
"LOC_Os04g31520",0.0122601610659,"--","None","RALFL21 - Rapid ALkalinization Factor RALF family protein precursor, expressed"
"LOC_Os06g48180",0.0119425422111,"--","None","glycosyl hydrolases family 16, putative, expressed"
"LOC_Os11g42960",0.0119257746116,"--","None","integral membrane protein TIGR01569 containing protein, expressed"
"LOC_Os03g02190",0.0118711385552,"--","None","protein kinase domain containing protein, expressed"
"LOC_Os09g35630",0.0118407903971,"--","None","BAG domain-containing protein, putative, expressed"
"LOC_Os08g43270",0.0118385778461,"--","None","BAG domain-containing protein, putative, expressed"
"LOC_Os03g63540",0.0118355731906,"--","None","lysine-rich arabinogalactan protein 19 precursor, putative, expressed"
"LOC_Os04g52370",0.0116951656986,"--","None","UTP--glucose-1-phosphate uridylyltransferase, putative, expressed"
"LOC_Os07g44090",0.0116890708291,"--","None","myb-related protein Hv33, putative, expressed"
"LOC_Os05g06780",0.0116794201556,"--","None","LTPL104 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os01g67090",0.0116764504815,"--","None","IQ calmodulin-binding motif domain containing protein, expressed"
"LOC_Os02g30810",0.0116287230897,"--","None","OsSAUR10 - Auxin-responsive SAUR gene family member, expressed"
"LOC_Os10g12750",0.0115421494366,"--","None","expressed protein"
"LOC_Os03g14030",0.0115052117977,"--","None","thaumatin, putative, expressed"
"LOC_Os01g73980",0.0112475985217,"--","None","xylem cysteine proteinase 2 precursor, putative, expressed"
"LOC_Os04g55670",0.0112078855558,"--","None","glycosyltransferase family 43 protein, putative, expressed"
"LOC_Os06g47220",0.0111387398439,"--","None","expressed protein"
"LOC_Os08g40060",0.0109179139687,"--","None","expressed protein"
"LOC_Os05g47700",0.0107032982029,"--","None","LTPL152 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os05g04500",0.010620603657,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os11g25560",0.010583967018,"--","None","BHLH transcription factor, putative, expressed"
"LOC_Os09g07460",0.0105712847467,"--","None","kelch repeat protein, putative, expressed"
"LOC_Os03g57460",0.0103060183617,"--","None","fasciclin domain containing protein, expressed"
"LOC_Os06g06780",0.0102246871763,"--","None","harpin-induced protein, putative, expressed"
"LOC_Os10g40620",0.0101373955363,"--","None","expressed protein"
"LOC_Os08g23180",0.0101274766188,"--","None","fasciclin-like arabinogalactan protein 8 precursor, putative, expressed"
"LOC_Os05g03174",0.0101207011302,"--","None","glycosyltransferase family 43 protein, putative, expressed"
"LOC_Os08g37060",0.0100786729282,"--","None","gibberellin receptor GID1L2, putative, expressed"
"LOC_Os08g36040",0.0100496923335,"--","None","plant viral response family protein, putative, expressed"
"LOC_Os07g18750",0.00996271506494,"--","None","LTPL42 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os08g38170",0.00981722462542,"--","None","methyladenine glycosylase, putative, expressed"
"LOC_Os03g29920",0.00969843002243,"--","None","proline-rich protein, putative, expressed"
"LOC_Os01g05064",0.00964217422279,"--","None","expressed protein"
"LOC_Os07g42520",0.00962769211011,"--","None","dirigent, putative, expressed"
"LOC_Os01g14670",0.00952208607743,"--","None","Cupin domain containing protein, expressed"
"LOC_Os11g41150",0.0094864120518,"--","None","nitrilase-associated protein, putative, expressed"
"LOC_Os11g07830",0.00941206630102,"--","None","dirigent, putative, expressed"
"LOC_Os01g02010",0.00938341847309,"--","None","expressed protein"
"LOC_Os04g59330",0.00938309218274,"--","None","expressed protein"
"LOC_Os05g06970",0.00930713000853,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os04g42620",0.00926129985409,"--","None","uncharacterized protein At4g06744 precursor, putative, expressed"
"LOC_Os10g32980",0.00921973707202,"OsCesA7","None","CESA7 - cellulose synthase, expressed"
"LOC_Os05g04380",0.00912826152855,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os02g16030",0.00894911620771,"--","None","harpin-induced protein 1 domain containing protein, expressed"
"LOC_Os04g33450",0.00890682866835,"--","None","expressed protein"
"LOC_Os07g06680",0.00885644498605,"--","None","fasciclin domain containing protein, expressed"
"LOC_Os03g12250",0.00870591960377,"--","None","atypical receptor-like kinase MARK, putative, expressed"
"LOC_Os02g10500",0.00861096691438,"--","None","expressed protein"
"LOC_Os01g07420",0.00843947330712,"--","None","hydrolase, alpha/beta fold family protein, putative, expressed"
"LOC_Os01g58910",0.00840252174844,"--","None","auxin-induced protein 5NG4, putative, expressed"
"LOC_Os02g03294",0.00827598246128,"OsCYCP4;3","None","cyclin, putative, expressed"
"LOC_Os04g57970",0.00816165336005,"--","None","expressed protein"
"LOC_Os03g08250",0.00811772934495,"--","None","expressed protein"
"LOC_Os06g06250",0.00807406921908,"--","None","GDSL-like lipase/acylhydrolase, putative, expressed"
"LOC_Os02g32009",0.00805737183278,"--","None","expressed protein"
"LOC_Os05g01810",0.00800920086467,"--","None","xylem cysteine proteinase 2 precursor, putative, expressed"
"LOC_Os11g07680",0.007982545677,"--","None","dirigent, putative, expressed"
"LOC_Os02g53870",0.00776029717959,"--","None","expressed protein"
"LOC_Os09g34320",0.00764017244809,"--","None","expressed protein"
"LOC_Os03g51150",0.0075739053608,"--","None","expressed protein"
"LOC_Os10g40710",0.00751891489333,"OsEXPB2","None","expansin precursor, putative, expressed"
"LOC_Os12g08200",0.00734054869556,"--","None","expressed protein"
