"gene","weight","symbol","alias","annotation"
"LOC_Os03g58050",1,"--","None","ribosomal protein S13p/S18e, putative, expressed"
"LOC_Os05g06310",0.20114205813,"--","None","60S ribosomal protein L18-3, putative, expressed"
"LOC_Os05g06310",0.20114205813,"--","None","60S ribosomal protein L18-3, putative, expressed"
"LOC_Os04g28180",0.200049481824,"--","None","ribosomal protein, putative, expressed"
"LOC_Os04g28180",0.200049481824,"--","None","ribosomal protein, putative, expressed"
"LOC_Os08g13690",0.195524258453,"--","None","60S ribosomal protein L7, putative, expressed"
"LOC_Os08g13690",0.195524258453,"--","None","60S ribosomal protein L7, putative, expressed"
"LOC_Os01g22490",0.194229445885,"OsUBI5|UBQ5|OsCCD4b","None","40S ribosomal protein S27a, putative, expressed"
"LOC_Os01g22490",0.194229445885,"OsUBI5|UBQ5|OsCCD4b","None","40S ribosomal protein S27a, putative, expressed"
"LOC_Os03g37970",0.194009080238,"OsiBBC1","None","ribosomal protein L13, putative, expressed"
"LOC_Os03g37970",0.194009080238,"OsiBBC1","None","ribosomal protein L13, putative, expressed"
"LOC_Os10g08930",0.193569129463,"--","None","S10/S20 domain containing ribosomal protein, putative, expressed"
"LOC_Os10g08930",0.193569129463,"--","None","S10/S20 domain containing ribosomal protein, putative, expressed"
"LOC_Os08g44480",0.193461741069,"--","None","40S ribosomal protein S25, putative, expressed"
"LOC_Os08g44480",0.193461741069,"--","None","40S ribosomal protein S25, putative, expressed"
"LOC_Os01g16890",0.191350015051,"--","None","ribosomal protein L7Ae, putative, expressed"
"LOC_Os01g16890",0.191350015051,"--","None","ribosomal protein L7Ae, putative, expressed"
"LOC_Os08g02410",0.191157131796,"--","None","40S ribosomal protein S13, putative, expressed"
"LOC_Os08g02410",0.191157131796,"--","None","40S ribosomal protein S13, putative, expressed"
"LOC_Os03g05980",0.190936744169,"--","None","40S ribosomal protein S9-2, putative, expressed"
"LOC_Os03g05980",0.190936744169,"--","None","40S ribosomal protein S9-2, putative, expressed"
"LOC_Os10g32920",0.189170736124,"HLL","None","ribosomal protein, putative, expressed"
"LOC_Os10g32920",0.189170736124,"HLL","None","ribosomal protein, putative, expressed"
"LOC_Os03g21940",0.187119152898,"--","None","60S ribosomal protein L19-3, putative, expressed"
"LOC_Os03g21940",0.187119152898,"--","None","60S ribosomal protein L19-3, putative, expressed"
"LOC_Os07g10720",0.185218746443,"--","None","40S ribosomal protein S15a, putative, expressed"
"LOC_Os07g10720",0.185218746443,"--","None","40S ribosomal protein S15a, putative, expressed"
"LOC_Os08g23710",0.185014765169,"--","None","ribosomal protein L7Ae, putative, expressed"
"LOC_Os08g23710",0.185014765169,"--","None","ribosomal protein L7Ae, putative, expressed"
"LOC_Os03g29460",0.184919599549,"--","None","60S ribosomal protein, putative, expressed"
"LOC_Os03g29460",0.184919599549,"--","None","60S ribosomal protein, putative, expressed"
"LOC_Os08g41300",0.183559895682,"rpL32_8.1","None","60S ribosomal protein L32, putative, expressed"
"LOC_Os08g41300",0.183559895682,"rpL32_8.1","None","60S ribosomal protein L32, putative, expressed"
"LOC_Os12g38000",0.183359638954,"--","None","60S ribosomal protein L8, putative, expressed"
"LOC_Os12g38000",0.183359638954,"--","None","60S ribosomal protein L8, putative, expressed"
"LOC_Os05g06770",0.18328463027,"--","None","40S ribosomal protein S27a, putative, expressed"
"LOC_Os05g06770",0.18328463027,"--","None","40S ribosomal protein S27a, putative, expressed"
"LOC_Os02g01560",0.182960968279,"--","None","40S ribosomal protein S4, putative, expressed"
"LOC_Os02g01560",0.182960968279,"--","None","40S ribosomal protein S4, putative, expressed"
"LOC_Os03g54890",0.180905574868,"--","None","ribosomal protein L13, putative, expressed"
"LOC_Os03g54890",0.180905574868,"--","None","ribosomal protein L13, putative, expressed"
"LOC_Os01g09510",0.180306093512,"--","None","60S acidic ribosomal protein, putative, expressed"
"LOC_Os01g09510",0.180306093512,"--","None","60S acidic ribosomal protein, putative, expressed"
"LOC_Os12g03090",0.179846181528,"--","None","ribosomal protein, putative, expressed"
"LOC_Os12g03090",0.179846181528,"--","None","ribosomal protein, putative, expressed"
"LOC_Os02g18380",0.178980936963,"--","None","60S ribosomal protein L27-3, putative, expressed"
"LOC_Os02g18380",0.178980936963,"--","None","60S ribosomal protein L27-3, putative, expressed"
"LOC_Os11g03400",0.178646563384,"OsRP1","None","ribosomal protein, putative, expressed"
"LOC_Os11g03400",0.178646563384,"OsRP1","None","ribosomal protein, putative, expressed"
"LOC_Os02g47140",0.178389902749,"--","None","L11 domain containing ribosomal protein, putative, expressed"
"LOC_Os02g47140",0.178389902749,"--","None","L11 domain containing ribosomal protein, putative, expressed"
