"result.gene","result.weight","result.symbol","result.alias","result.annotation"
"LOC_Os06g06780",1,"--","None","harpin-induced protein, putative, expressed"
"LOC_Os05g48270",0.0926006203195,"--","None","auxin-responsive protein, putative, expressed"
"LOC_Os05g48270",0.0926006203195,"--","None","auxin-responsive protein, putative, expressed"
"LOC_Os06g03640",0.0763201528445,"--","None","BAG domain containing protein, expressed"
"LOC_Os06g03640",0.0763201528445,"--","None","BAG domain containing protein, expressed"
"LOC_Os09g07350",0.0761478165059,"--","None","fasciclin-like arabinogalactan protein 8 precursor, putative, expressed"
"LOC_Os09g07350",0.0761478165059,"--","None","fasciclin-like arabinogalactan protein 8 precursor, putative, expressed"
"LOC_Os08g43270",0.0719853839888,"--","None","BAG domain-containing protein, putative, expressed"
"LOC_Os08g43270",0.0719853839888,"--","None","BAG domain-containing protein, putative, expressed"
"LOC_Os09g32080",0.062321226489,"bc15|OsCTL1","None","CHIT13 - Chitinase family protein precursor, expressed"
"LOC_Os09g32080",0.062321226489,"bc15|OsCTL1","None","CHIT13 - Chitinase family protein precursor, expressed"
"LOC_Os03g03600",0.0595472933827,"--","None","fasciclin-like arabinogalactan protein, putative, expressed"
"LOC_Os03g03600",0.0595472933827,"--","None","fasciclin-like arabinogalactan protein, putative, expressed"
"LOC_Os04g33990",0.0585696223045,"--","None","harpin-induced protein 1 domain containing protein, expressed"
"LOC_Os04g33990",0.0585696223045,"--","None","harpin-induced protein 1 domain containing protein, expressed"
"LOC_Os02g33550",0.0566244589625,"--","None","harpin-induced protein 1 domain containing protein, expressed"
"LOC_Os02g33550",0.0566244589625,"--","None","harpin-induced protein 1 domain containing protein, expressed"
"LOC_Os05g04500",0.0534510704342,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os05g04500",0.0534510704342,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os03g60340",0.0522895740238,"--","None","leaf senescence related protein, putative, expressed"
"LOC_Os03g60340",0.0522895740238,"--","None","leaf senescence related protein, putative, expressed"
"LOC_Os03g14030",0.0510082003734,"--","None","thaumatin, putative, expressed"
"LOC_Os03g14030",0.0510082003734,"--","None","thaumatin, putative, expressed"
"LOC_Os10g32980",0.050203196093,"OsCesA7","None","CESA7 - cellulose synthase, expressed"
"LOC_Os10g32980",0.050203196093,"OsCesA7","None","CESA7 - cellulose synthase, expressed"
"LOC_Os09g36350",0.049263358356,"--","None","endoglucanase, putative, expressed"
"LOC_Os09g36350",0.049263358356,"--","None","endoglucanase, putative, expressed"
"LOC_Os03g63540",0.0472810581171,"--","None","lysine-rich arabinogalactan protein 19 precursor, putative, expressed"
"LOC_Os03g63540",0.0472810581171,"--","None","lysine-rich arabinogalactan protein 19 precursor, putative, expressed"
"LOC_Os06g06250",0.0465520115675,"--","None","GDSL-like lipase/acylhydrolase, putative, expressed"
"LOC_Os06g06250",0.0465520115675,"--","None","GDSL-like lipase/acylhydrolase, putative, expressed"
"LOC_Os06g34120",0.0443388092811,"--","None","GDSL-like lipase/acylhydrolase, putative, expressed"
"LOC_Os06g34120",0.0443388092811,"--","None","GDSL-like lipase/acylhydrolase, putative, expressed"
"LOC_Os10g12750",0.0439646653667,"--","None","expressed protein"
