"result.gene","result.weight","result.symbol","result.alias","result.annotation"
"LOC_Os01g65880",1,"--","None","nodulin MtN3 family protein, putative, expressed"
"LOC_Os05g48270",0.0116240936741,"--","None","auxin-responsive protein, putative, expressed"
"LOC_Os03g60340",0.00780832221082,"--","None","leaf senescence related protein, putative, expressed"
"LOC_Os05g04500",0.0070057866902,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os03g13200",0.00698777170729,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os06g11490",0.00692358685807,"--","None","plastocyanin-like domain containing protein, putative, expressed"
"LOC_Os01g22640",0.00649770679748,"--","None","GDSL-like lipase/acylhydrolase, putative, expressed"
"LOC_Os08g43320",0.00644886572213,"--","None","OsRhmbd14 - Putative Rhomboid homologue, expressed"
"LOC_Os06g06250",0.00639264628704,"--","None","GDSL-like lipase/acylhydrolase, putative, expressed"
"LOC_Os08g43270",0.00631864221669,"--","None","BAG domain-containing protein, putative, expressed"
"LOC_Os04g46130",0.00600242689341,"--","None","plastocyanin-like domain containing protein, putative, expressed"
"LOC_Os10g32980",0.00594065510601,"OsCesA7","None","CESA7 - cellulose synthase, expressed"
"LOC_Os05g09704",0.00584333656169,"--","None","HAD superfamily phosphatase, putative, expressed"
"LOC_Os01g55000",0.00570277245081,"--","None","expressed protein"
"LOC_Os09g07350",0.00566526253291,"--","None","fasciclin-like arabinogalactan protein 8 precursor, putative, expressed"
"LOC_Os03g51150",0.00566176791601,"--","None","expressed protein"
"LOC_Os03g03600",0.00546797642233,"--","None","fasciclin-like arabinogalactan protein, putative, expressed"
"LOC_Os06g34120",0.00530881641846,"--","None","GDSL-like lipase/acylhydrolase, putative, expressed"
"LOC_Os05g10210",0.00521049402264,"--","None","HAD superfamily phosphatase, putative, expressed"
"LOC_Os06g03640",0.00518840032972,"--","None","BAG domain containing protein, expressed"
"LOC_Os01g72290",0.00514391682777,"--","None","expressed protein"
"LOC_Os09g36350",0.00509435136928,"--","None","endoglucanase, putative, expressed"
"LOC_Os03g63540",0.00501730496402,"--","None","lysine-rich arabinogalactan protein 19 precursor, putative, expressed"
"LOC_Os11g30560",0.00499570408605,"OsHSD1|LGF1","None","dehydrogenase/reductase, putative, expressed"
"LOC_Os02g33550",0.00495784727966,"--","None","harpin-induced protein 1 domain containing protein, expressed"
"LOC_Os04g33990",0.00489272112723,"--","None","harpin-induced protein 1 domain containing protein, expressed"
"LOC_Os06g30950",0.00487311371484,"--","None","transporter-related, putative, expressed"
"LOC_Os05g11990",0.00482827921029,"--","None","TTL1, putative, expressed"
"LOC_Os04g54810",0.00474938156703,"--","None","beta-D-xylosidase, putative, expressed"
"LOC_Os04g46110",0.00468152073463,"--","None","fibroin heavy chain precursor, putative, expressed"
"LOC_Os07g07230",0.00466986945505,"--","None","protein kinase, putative, expressed"
"LOC_Os05g28520",0.00466661263484,"--","None","MRH1, putative, expressed"
"LOC_Os10g12750",0.00462790588003,"--","None","expressed protein"
"LOC_Os01g67090",0.0046268562937,"--","None","IQ calmodulin-binding motif domain containing protein, expressed"
"LOC_Os04g26870",0.00459931716532,"--","None","oxidoreductase, aldo/keto reductase family protein, putative, expressed"
"LOC_Os06g49320",0.00453599595991,"--","None","glycosyltransferase, putative, expressed"
