"gene","weight","symbol","alias","annotation"
"LOC_Os06g22070",1,"--","None","mitochondrial glycoprotein, putative, expressed"
"LOC_Os06g19640",0.0754438032297,"--","None","39S ribosomal protein L46, mitochondrial precursor, putative, expressed"
"LOC_Os06g19640",0.0754438032297,"--","None","39S ribosomal protein L46, mitochondrial precursor, putative, expressed"
"LOC_Os01g16910",0.0628587263227,"--","None","outer mitochondrial membrane porin, putative, expressed"
"LOC_Os01g16910",0.0628587263227,"--","None","outer mitochondrial membrane porin, putative, expressed"
"LOC_Os06g35470",0.0616205239626,"--","None","L1P family of ribosomal proteins domain containing protein, expressed"
"LOC_Os06g35470",0.0616205239626,"--","None","L1P family of ribosomal proteins domain containing protein, expressed"
"LOC_Os07g44640",0.0584096419121,"--","None","ZOS7-13 - C2H2 zinc finger protein, expressed"
"LOC_Os07g44640",0.0584096419121,"--","None","ZOS7-13 - C2H2 zinc finger protein, expressed"
"LOC_Os06g05090",0.0582167255486,"--","None","methyltransferase domain containing protein, expressed"
"LOC_Os06g05090",0.0582167255486,"--","None","methyltransferase domain containing protein, expressed"
"LOC_Os03g18840",0.0575908908041,"--","None","NUC189 domain containing protein, expressed"
"LOC_Os03g18840",0.0575908908041,"--","None","NUC189 domain containing protein, expressed"
"LOC_Os03g42770",0.0569204058271,"--","None","expressed protein"
"LOC_Os03g42770",0.0569204058271,"--","None","expressed protein"
"LOC_Os04g41300",0.0568544323357,"--","None","ribosome recycling factor, putative, expressed"
"LOC_Os04g41300",0.0568544323357,"--","None","ribosome recycling factor, putative, expressed"
"LOC_Os02g04660",0.0568335312931,"--","None","arginine N-methyltransferase 5, putative, expressed"
"LOC_Os02g04660",0.0568335312931,"--","None","arginine N-methyltransferase 5, putative, expressed"
"LOC_Os03g61560",0.0541190380324,"--","None","expressed protein"
"LOC_Os03g61560",0.0541190380324,"--","None","expressed protein"
"LOC_Os11g20689",0.0522888423751,"--","None","exosome complex exonuclease, putative, expressed"
"LOC_Os11g20689",0.0522888423751,"--","None","exosome complex exonuclease, putative, expressed"
"LOC_Os03g08140",0.0517532893934,"--","None","tubulin--tyrosine ligase-like protein 12, putative, expressed"
"LOC_Os03g08140",0.0517532893934,"--","None","tubulin--tyrosine ligase-like protein 12, putative, expressed"
"LOC_Os12g07260",0.0511566147045,"--","None","PPR repeat domain containing protein, putative, expressed"
"LOC_Os12g07260",0.0511566147045,"--","None","PPR repeat domain containing protein, putative, expressed"
"LOC_Os04g38620",0.0511315786807,"--","None","NAP domain containing protein, putative, expressed"
"LOC_Os04g38620",0.0511315786807,"--","None","NAP domain containing protein, putative, expressed"
"LOC_Os05g28510",0.0494635023317,"OsImpbeta1","None","importin subunit beta, putative, expressed"
"LOC_Os05g28510",0.0494635023317,"OsImpbeta1","None","importin subunit beta, putative, expressed"
"LOC_Os07g10350",0.0489780904671,"--","None","S1 RNA binding domain containing protein, expressed"
"LOC_Os07g10350",0.0489780904671,"--","None","S1 RNA binding domain containing protein, expressed"
"LOC_Os02g37870",0.0486811775608,"--","None","Brix domain containing protein, putative, expressed"
"LOC_Os02g37870",0.0486811775608,"--","None","Brix domain containing protein, putative, expressed"
"LOC_Os07g40930",0.0475574277912,"--","None","WD repeat-containing protein 12, putative, expressed"
"LOC_Os07g40930",0.0475574277912,"--","None","WD repeat-containing protein 12, putative, expressed"
"LOC_Os02g40460",0.0467636250514,"--","None","S1 RNA binding domain containing protein, expressed"
"LOC_Os02g40460",0.0467636250514,"--","None","S1 RNA binding domain containing protein, expressed"
"LOC_Os08g09350",0.0466927092664,"--","None","gar2, putative, expressed"
"LOC_Os08g09350",0.0466927092664,"--","None","gar2, putative, expressed"
"LOC_Os05g22990",0.0466350830534,"--","None","expressed protein"
"LOC_Os05g22990",0.0466350830534,"--","None","expressed protein"
"LOC_Os02g39820",0.0464907525006,"--","None","PPR repeat domain containing protein, putative, expressed"
"LOC_Os02g39820",0.0464907525006,"--","None","PPR repeat domain containing protein, putative, expressed"
"LOC_Os01g72049",0.0463019950124,"--","None","retrotransposon, putative, centromere-specific, expressed"
"LOC_Os01g72049",0.0463019950124,"--","None","retrotransposon, putative, centromere-specific, expressed"
"LOC_Os02g57070",0.0460846339258,"--","None","3-5 exoribonuclease CSL4, putative, expressed"
"LOC_Os02g57070",0.0460846339258,"--","None","3-5 exoribonuclease CSL4, putative, expressed"
"LOC_Os03g06980",0.0454698572041,"--","None","nucleic acid binding protein, putative, expressed"
"LOC_Os03g06980",0.0454698572041,"--","None","nucleic acid binding protein, putative, expressed"
"LOC_Os02g44810",0.0449529906397,"--","None","tRNA pseudouridine synthase family protein, putative, expressed"
"LOC_Os02g44810",0.0449529906397,"--","None","tRNA pseudouridine synthase family protein, putative, expressed"
"LOC_Os12g34854",0.0449359421255,"--","None","RNA polymerase Rpb7, N-terminal domain containing protein, expressed"
"LOC_Os12g34854",0.0449359421255,"--","None","RNA polymerase Rpb7, N-terminal domain containing protein, expressed"
"LOC_Os08g21840",0.0446807893165,"--","None","50S ribosomal protein L15, putative, expressed"
"LOC_Os08g21840",0.0446807893165,"--","None","50S ribosomal protein L15, putative, expressed"
"LOC_Os05g44320",0.0440500713543,"--","None","WD domain, G-beta repeat domain containing protein, expressed"
"LOC_Os05g44320",0.0440500713543,"--","None","WD domain, G-beta repeat domain containing protein, expressed"
"LOC_Os01g05010",0.0427236807964,"--","None","mitochondrial glycoprotein, putative, expressed"
"LOC_Os01g05010",0.0427236807964,"--","None","mitochondrial glycoprotein, putative, expressed"
"LOC_Os01g14830",0.0426171984201,"--","None","ribosomal protein L3, putative, expressed"
"LOC_Os01g14830",0.0426171984201,"--","None","ribosomal protein L3, putative, expressed"
"LOC_Os07g44630",0.0425129044227,"--","None","thymidylate kinase, putative, expressed"
"LOC_Os07g44630",0.0425129044227,"--","None","thymidylate kinase, putative, expressed"
"LOC_Os05g08990",0.042317208148,"--","None","glutaminyl-tRNA synthetase, putative, expressed"
"LOC_Os05g08990",0.042317208148,"--","None","glutaminyl-tRNA synthetase, putative, expressed"
"LOC_Os01g62210",0.0421100573493,"--","None","50S ribosomal protein L17, putative, expressed"
"LOC_Os01g62210",0.0421100573493,"--","None","50S ribosomal protein L17, putative, expressed"
"LOC_Os05g48290",0.0420359626958,"--","None","T-complex protein, putative, expressed"
"LOC_Os05g48290",0.0420359626958,"--","None","T-complex protein, putative, expressed"
"LOC_Os06g16290",0.0419879364518,"--","None","ribosomal protein L7Ae, putative, expressed"
"LOC_Os06g16290",0.0419879364518,"--","None","ribosomal protein L7Ae, putative, expressed"
"LOC_Os12g41190",0.0413909923666,"--","None","tetratricopeptide repeat domain containing protein, expressed"
"LOC_Os12g41190",0.0413909923666,"--","None","tetratricopeptide repeat domain containing protein, expressed"
"LOC_Os07g46440",0.0412267321033,"--","None","ribosomal protein, putative, expressed"
"LOC_Os07g46440",0.0412267321033,"--","None","ribosomal protein, putative, expressed"
"LOC_Os02g49360",0.0411373113472,"--","None","RNA methyltransferase domain-containing protein 2, putative, expressed"
"LOC_Os02g49360",0.0411373113472,"--","None","RNA methyltransferase domain-containing protein 2, putative, expressed"
