"gene","weight","symbol","alias","annotation"
"LOC_Os07g47990",1,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os04g58760",0.0524479676405,"OsCASP1","None","membrane associated DUF588 domain containing protein, putative, expressed"
"LOC_Os04g58760",0.0524479676405,"OsCASP1","None","membrane associated DUF588 domain containing protein, putative, expressed"
"LOC_Os02g43660",0.0500880256806,"--","None","plastocyanin-like domain containing protein, putative, expressed"
"LOC_Os02g43660",0.0500880256806,"--","None","plastocyanin-like domain containing protein, putative, expressed"
"LOC_Os02g44080",0.0497249173353,"--","None","aquaporin protein, putative, expressed"
"LOC_Os02g44080",0.0497249173353,"--","None","aquaporin protein, putative, expressed"
"LOC_Os02g44310",0.0478994699946,"RCc3","None","LTPL112 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os02g44310",0.0478994699946,"RCc3","None","LTPL112 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os02g25020",0.0477445159892,"--","None","DNA binding protein, putative, expressed"
"LOC_Os02g25020",0.0477445159892,"--","None","DNA binding protein, putative, expressed"
"LOC_Os03g14150",0.0465473380335,"--","None","expressed protein"
"LOC_Os03g14150",0.0465473380335,"--","None","expressed protein"
"LOC_Os11g35350",0.0452845043009,"--","None","expressed protein"
"LOC_Os11g35350",0.0452845043009,"--","None","expressed protein"
"LOC_Os04g46810",0.0410642912112,"--","None","LTPL120 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os04g46810",0.0410642912112,"--","None","LTPL120 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os10g40530",0.0405796907303,"--","None","LTPL146 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os10g40530",0.0405796907303,"--","None","LTPL146 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os04g50030",0.0390837391142,"--","None","DNA binding protein, putative, expressed"
"LOC_Os04g50030",0.0390837391142,"--","None","DNA binding protein, putative, expressed"
"LOC_Os10g40710",0.0390184691901,"OsEXPB2","None","expansin precursor, putative, expressed"
"LOC_Os10g40710",0.0390184691901,"OsEXPB2","None","expansin precursor, putative, expressed"
"LOC_Os11g42960",0.038970197311,"--","None","integral membrane protein TIGR01569 containing protein, expressed"
"LOC_Os11g42960",0.038970197311,"--","None","integral membrane protein TIGR01569 containing protein, expressed"
"LOC_Os10g40510",0.0382221997775,"--","None","LTPL144 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os10g40510",0.0382221997775,"--","None","LTPL144 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os04g34630",0.0376954121006,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os04g34630",0.0376954121006,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os05g04470",0.0368756406554,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os05g04470",0.0368756406554,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os10g08780",0.036044421549,"--","None","expressed protein"
"LOC_Os10g08780",0.036044421549,"--","None","expressed protein"
"LOC_Os01g18170",0.0355173142733,"--","None","Cupin domain containing protein, expressed"
"LOC_Os01g18170",0.0355173142733,"--","None","Cupin domain containing protein, expressed"
"LOC_Os02g30810",0.0327629408661,"--","None","OsSAUR10 - Auxin-responsive SAUR gene family member, expressed"
"LOC_Os02g30810",0.0327629408661,"--","None","OsSAUR10 - Auxin-responsive SAUR gene family member, expressed"
"LOC_Os05g51780",0.0314947265215,"--","None","zinc finger, C3HC4 type domain containing protein, expressed"
"LOC_Os05g51780",0.0314947265215,"--","None","zinc finger, C3HC4 type domain containing protein, expressed"
"LOC_Os05g48890",0.0311136038313,"--","None","fasciclin domain containing protein, expressed"
"LOC_Os05g48890",0.0311136038313,"--","None","fasciclin domain containing protein, expressed"
"LOC_Os01g48710",0.0304342323485,"--","None","heavy metal-associated domain containing protein, expressed"
"LOC_Os01g48710",0.0304342323485,"--","None","heavy metal-associated domain containing protein, expressed"
"LOC_Os08g06320",0.0302935644696,"--","None","DNA binding protein, putative, expressed"
"LOC_Os08g06320",0.0302935644696,"--","None","DNA binding protein, putative, expressed"
"LOC_Os10g31660",0.0302157381119,"--","None","glycine-rich cell wall structural protein 2 precursor, putative, expressed"
"LOC_Os10g31660",0.0302157381119,"--","None","glycine-rich cell wall structural protein 2 precursor, putative, expressed"
"LOC_Os07g01440",0.0299955081914,"--","None","plastocyanin-like domain containing protein, putative, expressed"
"LOC_Os07g01440",0.0299955081914,"--","None","plastocyanin-like domain containing protein, putative, expressed"
"LOC_Os10g06680",0.0297125642032,"--","None","expressed protein"
"LOC_Os10g06680",0.0297125642032,"--","None","expressed protein"
"LOC_Os01g15810",0.0295663902691,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os01g15810",0.0295663902691,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os07g44590",0.0289737991999,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os07g44590",0.0289737991999,"--","None","peroxidase precursor, putative, expressed"
"LOC_Os07g18750",0.0288637004777,"--","None","LTPL42 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os07g18750",0.0288637004777,"--","None","LTPL42 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
