"result.gene","result.weight","result.symbol","result.alias","result.annotation"
"LOC_Os10g36200",1,"--","None","heavy metal-associated domain containing protein, expressed"
"LOC_Os07g45320",0.0498527506197,"--","None","COX VIIa, putative, expressed"
"LOC_Os07g45320",0.0498527506197,"--","None","COX VIIa, putative, expressed"
"LOC_Os07g48244",0.0491535895541,"--","None","ubiquinol-cytochrome c reductase complex 6.7 kDa protein, putative, expressed"
"LOC_Os07g48244",0.0491535895541,"--","None","ubiquinol-cytochrome c reductase complex 6.7 kDa protein, putative, expressed"
"LOC_Os03g56190",0.0460862339336,"--","None","cytochrome c oxidase-related, putative, expressed"
"LOC_Os03g56190",0.0460862339336,"--","None","cytochrome c oxidase-related, putative, expressed"
"LOC_Os12g37419",0.0438264617347,"COX5c","None","cytochrome c oxidase polypeptide Vc, putative, expressed"
"LOC_Os12g37419",0.0438264617347,"COX5c","None","cytochrome c oxidase polypeptide Vc, putative, expressed"
"LOC_Os01g72009",0.0434466906481,"--","None","expressed protein"
"LOC_Os01g72009",0.0434466906481,"--","None","expressed protein"
"LOC_Os04g52180",0.0406326804266,"--","None","expressed protein"
"LOC_Os04g52180",0.0406326804266,"--","None","expressed protein"
"LOC_Os05g06780",0.0389287429563,"--","None","LTPL104 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os05g06780",0.0389287429563,"--","None","LTPL104 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"LOC_Os02g32009",0.03635205608,"--","None","expressed protein"
"LOC_Os02g32009",0.03635205608,"--","None","expressed protein"
"LOC_Os06g50000",0.0355687175407,"--","None","LYR motif containing protein, putative, expressed"
"LOC_Os06g50000",0.0355687175407,"--","None","LYR motif containing protein, putative, expressed"
"LOC_Os02g21280",0.0338782001912,"--","None","POEI30 - Pollen Ole e I allergen and extensin family protein precursor, expressed"
"LOC_Os02g21280",0.0338782001912,"--","None","POEI30 - Pollen Ole e I allergen and extensin family protein precursor, expressed"
"LOC_Os10g27174",0.0332563404536,"--","None","40S ribosomal protein S28, putative, expressed"
"LOC_Os10g27174",0.0332563404536,"--","None","40S ribosomal protein S28, putative, expressed"
"LOC_Os11g01300",0.0330992229497,"--","None","protein transport protein Sec61 subunit beta, putative, expressed"
"LOC_Os11g01300",0.0330992229497,"--","None","protein transport protein Sec61 subunit beta, putative, expressed"
"LOC_Os03g22460",0.0329874982175,"--","None","expressed protein"
"LOC_Os03g22460",0.0329874982175,"--","None","expressed protein"
"LOC_Os02g43540",0.0324220853815,"--","None","retrotransposon protein, putative, unclassified, expressed"
"LOC_Os02g43540",0.0324220853815,"--","None","retrotransposon protein, putative, unclassified, expressed"
"LOC_Os01g12100",0.0322026546836,"--","None","expressed protein"
"LOC_Os01g12100",0.0322026546836,"--","None","expressed protein"
