"gene","weight","symbol","alias","annotation"
"LOC_Os12g41930",1,"--","None","SRP40, C-terminal domain containing protein, expressed"
"LOC_Os07g44190",0.0791878388618,"--","None","h/ACA ribonucleoprotein complex subunit 4, putative, expressed"
"LOC_Os07g44190",0.0791878388618,"--","None","h/ACA ribonucleoprotein complex subunit 4, putative, expressed"
"LOC_Os03g25450",0.0584279896015,"--","None","h/ACA ribonucleoprotein complex subunit 4, putative, expressed"
"LOC_Os03g25450",0.0584279896015,"--","None","h/ACA ribonucleoprotein complex subunit 4, putative, expressed"
"LOC_Os03g22880",0.0534235432146,"--","None","nucleolar protein 5A, putative, expressed"
"LOC_Os03g22880",0.0534235432146,"--","None","nucleolar protein 5A, putative, expressed"
"LOC_Os03g22740",0.0432541609745,"--","None","nucleolar protein NOP5-1, putative, expressed"
"LOC_Os03g22740",0.0432541609745,"--","None","nucleolar protein NOP5-1, putative, expressed"
"LOC_Os03g22730",0.0371406915716,"--","None","nucleolar protein NOP5-1, putative, expressed"
"LOC_Os03g22730",0.0371406915716,"--","None","nucleolar protein NOP5-1, putative, expressed"
"LOC_Os06g19980",0.0334788453341,"--","None","MYB family transcription factor, putative, expressed"
"LOC_Os06g19980",0.0334788453341,"--","None","MYB family transcription factor, putative, expressed"
"LOC_Os04g36890",0.0311721215376,"--","None","peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed"
"LOC_Os04g36890",0.0311721215376,"--","None","peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed"
"LOC_Os07g29320",0.0281641059282,"--","None","rRNA-processing protein EBP2, putative, expressed"
"LOC_Os07g29320",0.0281641059282,"--","None","rRNA-processing protein EBP2, putative, expressed"
"LOC_Os05g51180",0.0251642424628,"--","None","hyaluronan/mRNA binding family domain containing protein, expressed"
"LOC_Os05g51180",0.0251642424628,"--","None","hyaluronan/mRNA binding family domain containing protein, expressed"
"LOC_Os01g62350",0.0249658205916,"--","None","60S ribosomal protein L36-2, putative, expressed"
