"result.gene","result.weight","result.symbol","result.alias","result.annotation"
"LOC_Os06g02220",1,"OsMTN","None","MTA/SAH nucleosidase, putative, expressed"
"LOC_Os02g48390",0.00903892324701,"--","None","phosphoribosyl transferase, putative, expressed"
"LOC_Os01g16910",0.00833068990173,"--","None","outer mitochondrial membrane porin, putative, expressed"
"LOC_Os06g19640",0.00701627916106,"--","None","39S ribosomal protein L46, mitochondrial precursor, putative, expressed"
"LOC_Os08g09350",0.0067611821316,"--","None","gar2, putative, expressed"
"LOC_Os03g63410",0.00666383502597,"--","None","elongation factor Tu, putative, expressed"
"LOC_Os12g41190",0.00666115768227,"--","None","tetratricopeptide repeat domain containing protein, expressed"
"LOC_Os05g05470",0.00656472207192,"--","None","T-complex protein, putative, expressed"
"LOC_Os05g45270",0.0065485895007,"--","None","ribosomal L9, putative, expressed"
"LOC_Os04g46620",0.00636309863669,"--","None","T-complex protein, putative, expressed"
"LOC_Os06g36700",0.00632613469478,"--","None","T-complex protein, putative, expressed"
"LOC_Os06g16290",0.00631439560369,"--","None","ribosomal protein L7Ae, putative, expressed"
"LOC_Os05g48290",0.0062290996305,"--","None","T-complex protein, putative, expressed"
"LOC_Os03g38980",0.00615824142847,"--","None","tRNA synthetases class II domain containing protein, expressed"
"LOC_Os09g07830",0.00594939708188,"--","None","acetyl-CoA acetyltransferase, cytosolic, putative, expressed"
"LOC_Os05g23600",0.00569137317213,"--","None","dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDasubunit precursor, putative, expressed"
"LOC_Os02g37870",0.0056786103511,"--","None","Brix domain containing protein, putative, expressed"
"LOC_Os01g60660",0.00539146813531,"OsARC","None","methionyl-tRNA synthetase, putative, expressed"
"LOC_Os03g17120",0.00529942888887,"--","None","arginine biosynthesis bifunctional protein argJ 1, putative, expressed"
"LOC_Os01g14830",0.00522856266171,"--","None","ribosomal protein L3, putative, expressed"
"LOC_Os11g04020",0.00521129575477,"TOM1|OsZIFL4","None","major facilitator superfamily antiporter, putative, expressed"
"LOC_Os05g28510",0.00517382193698,"OsImpbeta1","None","importin subunit beta, putative, expressed"
"LOC_Os06g07160",0.00497205902767,"--","None","expressed protein"
"LOC_Os03g63400",0.00481104736372,"Osj3g2BTF3","None","transcription factor BTF3, putative, expressed"
"LOC_Os04g59040",0.00472236056263,"--","None","soluble inorganic pyrophosphatase, putative, expressed"
"LOC_Os05g46580",0.00454481049308,"OsFPPS2|FPPS2","None","polyprenyl synthetase, putative, expressed"
"LOC_Os03g15120",0.00453722390306,"--","None","imidazole glycerol phosphate synthase hisHF, chloroplast precursor, putative, expressed"
"LOC_Os03g42220",0.00449054277796,"--","None","T-complex protein, putative, expressed"
"LOC_Os08g23810",0.00448521336361,"--","None","enoyl-acyl-carrier-protein reductase NADH, chloroplast precursor, expressed"
"LOC_Os09g04730",0.00442103044201,"--","None","dehydrogenase/reductase SDR family member 2, putative, expressed"
"LOC_Os12g07260",0.00441141883738,"--","None","PPR repeat domain containing protein, putative, expressed"
"LOC_Os07g40930",0.00438705260699,"--","None","WD repeat-containing protein 12, putative, expressed"
"LOC_Os03g06980",0.00438333258286,"--","None","nucleic acid binding protein, putative, expressed"
"LOC_Os02g22780",0.00437409939611,"--","None","T-complex protein, putative, expressed"
"LOC_Os11g39020",0.00436352647499,"--","None","ABC transporter, ATP-binding protein, putative, expressed"
"LOC_Os03g07840",0.00434120281222,"--","None","adenylosuccinate synthetase, chloroplast precursor, putative, expressed"
"LOC_Os04g01290",0.00429197173171,"--","None","proteasome subunit, putative, expressed"
"LOC_Os03g07300",0.00428477413696,"RPE","None","ribulose-phosphate 3-epimerase, chloroplast precursor, putative, expressed"
"LOC_Os03g18840",0.00423036044579,"--","None","NUC189 domain containing protein, expressed"
"LOC_Os03g64020",0.00417067764914,"--","None","expressed protein"
"LOC_Os04g16680",0.00416521932194,"--","None","fructose-1,6-bisphosphatase, putative, expressed"
"LOC_Os06g15400",0.00415219276837,"--","None","expressed protein"
"LOC_Os05g08990",0.00415027490615,"--","None","glutaminyl-tRNA synthetase, putative, expressed"
"LOC_Os06g35470",0.00414320873452,"--","None","L1P family of ribosomal proteins domain containing protein, expressed"
"LOC_Os07g07540",0.0041052202719,"--","None","SHOOT1 protein, putative, expressed"
"LOC_Os10g35030",0.0041051994005,"--","None","IAP100, putative, expressed"
"LOC_Os03g49720",0.00410385161075,"--","None","PAP fibrillin family domain containing protein, expressed"
"LOC_Os07g06660",0.00408190433548,"--","None","glyoxalase family protein, putative, expressed"
"LOC_Os05g08360",0.00406071312109,"--","None","rRNA 2-O-methyltransferase fibrillarin 2, putative, expressed"
"LOC_Os09g32500",0.00400733096904,"--","None","60S ribosomal protein L32, putative, expressed"
"LOC_Os07g46440",0.00400334954858,"--","None","ribosomal protein, putative, expressed"
"LOC_Os05g05320",0.004002569215,"--","None","PPR repeat domain containing protein, putative, expressed"
"LOC_Os03g61600",0.00400053908799,"--","None","phosphoribosylformylglycinamidine synthase, putative, expressed"
"LOC_Os01g64090",0.0040004713055,"--","None","L1P family of ribosomal proteins domain containing protein, expressed"
"LOC_Os02g43410",0.00397991876673,"OsYSL15","None","transposon protein, putative, unclassified, expressed"
"LOC_Os01g12650",0.00397457700352,"--","None","reticulon domain containing protein, putative, expressed"
"LOC_Os04g41340",0.00397004809549,"Os4NPP1","None","4-nitrophenylphosphatase, putative, expressed"
"LOC_Os03g03720",0.00392993105896,"GADPH","None","glyceraldehyde-3-phosphate dehydrogenase, putative, expressed"
"LOC_Os03g56280",0.00392298598069,"--","None","lactate/malate dehydrogenase, putative, expressed"
"LOC_Os03g01014",0.00389880310383,"--","None","expressed protein"
"LOC_Os01g03040",0.00388932805158,"--","None","expressed protein"
"LOC_Os02g38210",0.00388275541398,"--","None","elongation factor Tu, putative, expressed"
"LOC_Os08g27010",0.00388043456897,"--","None","APE1, putative, expressed"
"LOC_Os02g04660",0.00386224273443,"--","None","arginine N-methyltransferase 5, putative, expressed"
"LOC_Os08g06530",0.00384528801418,"--","None","rubredoxin family protein, putative, expressed"
"LOC_Os01g73160",0.00384348835217,"--","None","40S ribosomal protein S10, putative, expressed"
"LOC_Os10g25780",0.00382183717436,"BRD2|DIM|DWF1|LHDD10|LTBSG1","None","FAD-linked oxidoreductase protein, putative, expressed"
"LOC_Os11g13850",0.0038174267391,"--","None","rieske domain containing protein, expressed"
"LOC_Os02g51080",0.00380903867304,"LYL1|OsChlP|OsGGR","None","FAD binding domain containing protein, expressed"
